title,slug,status,category,subcategory,url,id,date
«همه‌چیز انرژی است» — بررسی یک ادعا,everything-is-energy-claim,publish,نقد شبه‌علم,,https://qpedia.ir/everything-is-energy-claim/,316,2026-08-23 01:33:42
آزمایش آسپه ۱۹۸۲ چه بود؟,aspect-experiment-1982,publish,تاریخ و آزمایش‌های کوانتوم,آزمایش‌های کوانتومی,https://qpedia.ir/aspect-experiment-1982/,2239,2026-09-05 22:38:18
آزمایش اشترن-گرلاخ چیست؟,stern-gerlach-experiment,publish,تاریخ و آزمایش‌های کوانتوم,آزمایش‌های کوانتومی,https://qpedia.ir/stern-gerlach-experiment/,2238,2026-09-05 22:38:18
آزمایش دو شکاف,double-slit-experiment,publish,تاریخ و آزمایش‌های کوانتوم,آزمایش‌های کوانتومی,https://qpedia.ir/double-slit-experiment/,297,2026-08-23 00:29:03
آزمایش های بل: چگونه درهم تنیدگی اثبات شد!,bell-experiments,publish,تاریخ و آزمایش‌های کوانتوم,آزمایش‌های کوانتومی,https://qpedia.ir/bell-experiments/,553,2026-09-03 03:05:05
آنزیم‌ها؛ عبور از دیوار به‌جای پریدن,enzyme-quantum-tunneling,publish,فناوری و کاربردهای کوانتومی,زیست‌شناسی کوانتومی,https://qpedia.ir/enzyme-quantum-tunneling/,320,2026-08-23 01:53:18
آنیلینگ کوانتومی؛ چرا هزار کیوبیت یعنی هزار کیوبیت نیست,quantum-annealing-dwave,publish,فناوری و کاربردهای کوانتومی,رایانش و ارتباطات کوانتومی,https://qpedia.ir/quantum-annealing-dwave/,2531,2026-09-06 02:34:03
آیا با فکر کردن می توان واقعیت کوانتومی را تغییر داد؟,mind-quantum-reality,publish,نقد شبه‌علم,,https://qpedia.ir/mind-quantum-reality/,551,2026-09-03 03:08:45
آیا جهان یک شبیه سازی است؟ نقد سه استدلال کوانتومی,simulation-hypothesis-quantum,publish,نقد شبه‌علم,,https://qpedia.ir/simulation-hypothesis-quantum/,2537,2026-09-06 02:45:33
آیا جهش ژنتیکی کوانتومی است؟,genetic-mutation,publish,فناوری و کاربردهای کوانتومی,زیست‌شناسی کوانتومی,https://qpedia.ir/genetic-mutation/,2260,2026-09-05 22:38:18
آیا درهم تنیدگی یعنی اطلاعات سریع تر از نور منتقل می شود؟,entanglement-myths,publish,نقد شبه‌علم,,https://qpedia.ir/entanglement-myths/,559,2026-09-03 03:10:43
آیا سفر در زمان با فیزیک کوانتوم ممکن است؟,quantum-time-travel,publish,پدیده‌های کوانتومی,,https://qpedia.ir/quantum-time-travel/,2505,2026-09-05 23:25:55
آیا فیزیک دانان بر سر معنای اندازه گیری توافق دارند؟,quantum-interpretation-debate,publish,تفسیرها و فلسفهٔ کوانتوم,,https://qpedia.ir/quantum-interpretation-debate/,561,2026-09-03 02:45:45
