title,slug,status,url,id,date
آرتور کامپتون؛ برخوردی که نور را ذره کرد,arthur-compton,publish,https://qpedia.ir/scientists/arthur-compton/,236,2026-08-21 06:12:31
آرنولد زومرفلد؛ استادی که اتم بور را دقیق‌تر کرد,arnold-sommerfeld,publish,https://qpedia.ir/scientists/arnold-sommerfeld/,235,2026-08-21 06:11:39
آلبرت اینشتین؛ نوبل برای نور، نه نسبیت,albert-einstein,publish,https://qpedia.ir/scientists/albert-einstein/,2060,2026-09-02 14:20:02
آلن اسپه؛ آزمایش‌های بل و بستن گریزگاه موضعیت,alain-aspect,publish,https://qpedia.ir/scientists/alain-aspect/,233,2026-08-21 06:08:59
آنتون زایلینگر؛ تله‌پورت کوانتومی و آزمایش‌های درهم‌تنیدگی,anton-zeilinger,publish,https://qpedia.ir/scientists/anton-zeilinger/,234,2026-08-21 06:10:40
آکیرا تونومورا؛ الکترون‌ها یکی‌یکی,akira-tonomura,publish,https://qpedia.ir/scientists/akira-tonomura/,2353,2026-09-04 23:02:55
آیزاک نیوتن؛ مکانیکی که محدود بود نه غلط,isaac-newton,publish,https://qpedia.ir/scientists/isaac-newton/,322,2026-08-23 06:37:42
اتو اشترن؛ آزمایشی که اسپین را عینی کرد,otto-stern,publish,https://qpedia.ir/scientists/otto-stern/,2347,2026-09-04 23:02:55
ارنست رادرفورد؛ کاشف هستهٔ اتم,ernest-rutherford,publish,https://qpedia.ir/scientists/ernest-rutherford/,2344,2026-09-04 23:04:23
اروین شرودینگر؛ مردی که جهان را موج کرد,erwin-schrodinger,publish,https://qpedia.ir/scientists/erwin-schrodinger/,2328,2026-09-04 23:03:46
امی نوتر؛ زنی که تقارن را ترجمه کرد,emmy-noether,publish,https://qpedia.ir/scientists/emmy-noether/,2357,2026-09-04 23:04:23
انریکو فرمی؛ معمار نخستین واکنش زنجیره‌ای هسته‌ای,enrico-fermi,publish,https://qpedia.ir/scientists/enrico-fermi/,240,2026-08-21 06:16:38
برایان جوزفسون؛ پیش‌بینی در ۲۲سالگی,brian-josephson,publish,https://qpedia.ir/scientists/brian-josephson/,2352,2026-09-04 23:02:55
جان بل؛ فیزیک‌دانی که درهم‌تنیدگی کوانتومی را آزمون‌پذیر کرد,john-bell,publish,https://qpedia.ir/scientists/john-bell/,274,2026-08-23 06:38:24
جان فون‌نویمان؛ مغزی که کوانتوم را بنیان نوشت,john-von-neumann,publish,https://qpedia.ir/scientists/john-von-neumann/,2342,2026-09-04 23:04:23
جان ویلر؛ مردی که سیاه‌چاله را نام گذاشت,john-wheeler,publish,https://qpedia.ir/scientists/john-wheeler/,2339,2026-09-04 23:03:46
جان کلارک؛ مداری که مثل اتم تونل زد,john-clarke,publish,https://qpedia.ir/scientists/john-clarke/,2767,2026-09-09 16:21:31
جان کلاوزر؛ آزمایشگری که به حاشیه گوش نداد,john-clauser,publish,https://qpedia.ir/scientists/john-clauser/,2341,2026-09-04 23:04:23
جرج گاموف؛ از تونل‌زنی تا مهبانگ,george-gamow,publish,https://qpedia.ir/scientists/george-gamow/,2337,2026-09-04 23:03:46
جولیان شوینگر؛ مهارکنندهٔ بی‌نهایت‌ها,julian-schwinger,publish,https://qpedia.ir/scientists/julian-schwinger/,2333,2026-09-04 23:04:23
جیمز کلرک ماکسول؛ مرد چهار معادله,james-clerk-maxwell,publish,https://qpedia.ir/scientists/james-clerk-maxwell/,2354,2026-09-04 23:02:55
دیوید بوهم؛ بازگشت متغیر پنهان,david-bohm,publish,https://qpedia.ir/scientists/david-bohm/,231,2026-08-21 05:49:21
دیوید دویچ؛ از تعریف فیزیکی محاسبه تا ماشین کوانتومی,david-deutsch,publish,https://qpedia.ir/scientists/david-deutsch/,238,2026-08-21 06:14:38
دیوید هیلبرت؛ ریاضی‌دانی که زبان فیزیک کوانتومی را فراهم کرد,david-hilbert,publish,https://qpedia.ir/scientists/david-hilbert/,239,2026-08-21 06:15:33
رابرت میلیکان؛ وزن کردن بار الکترون,robert-millikan,publish,https://qpedia.ir/scientists/robert-millikan/,2345,2026-09-04 23:02:55
ریچارد فاینمن؛ مردی که کوانتوم را به تصویر کشید,richard-feynman,publish,https://qpedia.ir/scientists/richard-feynman/,2332,2026-09-04 23:04:52
ساتیندرا بوز؛ نامه‌ای از داکا که مفهوم ذره را دگرگون کرد,satyendra-bose,publish,https://qpedia.ir/scientists/satyendra-bose/,271,2026-08-23 06:46:53
سرژ آروش؛ فوتونی در قفس که نمرد,serge-haroche,publish,https://qpedia.ir/scientists/serge-haroche/,2771,2026-09-10 16:20:31
سین-ایتیرو توموناگا؛ نابغهٔ تنها در جنگ,sin-itiro-tomonaga,publish,https://qpedia.ir/scientists/sin-itiro-tomonaga/,2334,2026-09-04 23:04:23
فریمن دایسون؛ پلی که سه زبان الکترودینامیک کوانتومی را یکی کرد,freeman-dyson,publish,https://qpedia.ir/scientists/freeman-dyson/,272,2026-08-23 06:38:34
لئو اساکی؛ دیودی که از دیوار عبور کرد,leo-esaki,publish,https://qpedia.ir/scientists/leo-esaki/,2349,2026-09-04 23:02:55
لو لاندائو؛ نابغه‌ای که سانحه خاموشش کرد,lev-landau,publish,https://qpedia.ir/scientists/lev-landau/,2338,2026-09-04 23:03:46
لودویگ بولتزمن؛ شمارندهٔ بی‌نظمی,ludwig-boltzmann,publish,https://qpedia.ir/scientists/ludwig-boltzmann/,2355,2026-09-04 23:04:23
لویی دوبروی؛ شاهزاده‌ای که الکترون را موج کرد,louis-de-broglie,publish,https://qpedia.ir/scientists/louis-de-broglie/,2327,2026-09-01 23:04:52
لیزه مایتنر؛ مادر شکافت هسته‌ای,lise-meitner,publish,https://qpedia.ir/scientists/lise-meitner/,2358,2026-09-04 23:04:23
ماری کوری؛ دو نوبل، یک زندگی,marie-curie,publish,https://qpedia.ir/scientists/marie-curie/,2356,2026-09-04 23:04:23
ماکس بورن؛ مترجم احتمال در کوانتوم,max-born,publish,https://qpedia.ir/scientists/max-born/,2330,2026-09-04 23:03:46
ماکس پلانک؛ انقلابی محافظه‌کار در قلب فیزیک,max-planck,publish,https://qpedia.ir/scientists/max-planck/,265,2026-08-23 06:36:35
میشل دووره؛ مدار را اتم مصنوعی کرد,michel-devoret,publish,https://qpedia.ir/scientists/michel-devoret/,2768,2026-09-10 07:28:56
نیلز بور؛ معماری که زبان دنیای اتمی را ساخت,niels-bohr,publish,https://qpedia.ir/scientists/niels-bohr/,266,2026-08-23 06:37:24
هانس بته؛ مردی که راز خورشید را گشود,hans-bethe,publish,https://qpedia.ir/scientists/hans-bethe/,2336,2026-09-04 23:03:46
هانس کرامرس؛ نابغهٔ گمنام مکانیک کوانتومی,hendrik-kramers,publish,https://qpedia.ir/scientists/hendrik-kramers/,2331,2026-09-04 23:03:46
هاینریش روهرر؛ دیدن اتم‌ها با لمس,heinrich-rohrer,publish,https://qpedia.ir/scientists/heinrich-rohrer/,2351,2026-09-04 23:02:55
هرمان وایل؛ ریاضی‌دانی که تقارن را زبان فیزیک کرد,hermann-weyl,publish,https://qpedia.ir/scientists/hermann-weyl/,270,2026-08-23 06:47:03
هیدکی یوکاوا؛ فیزیک‌دانی که ذره‌ای نادیده را برای پیوند هسته اتم پیش‌بینی کرد,hideki-yukawa,publish,https://qpedia.ir/scientists/hideki-yukawa/,273,2026-08-23 06:46:45
هیو اورت؛ فیزیک‌دانی که با حذف فروریزش، جهان‌های چندگانه را پیش نهاد,hugh-everett,publish,https://qpedia.ir/scientists/hugh-everett/,275,2026-08-23 06:35:44
والتر گرلاخ؛ دستانی که اسپین را دیدند,walther-gerlach,publish,https://qpedia.ir/scientists/walther-gerlach/,2348,2026-09-04 23:02:55
ورنر هایزنبرگ؛ جوانی که عدم قطعیت را کشف کرد,werner-heisenberg,publish,https://qpedia.ir/scientists/werner-heisenberg/,2329,2026-09-04 23:03:46
ولفگانگ پاولی؛ ذهنی تیز که به طبیعت نظم داد,wolfgang-pauli,publish,https://qpedia.ir/scientists/wolfgang-pauli/,268,2026-08-23 06:38:07
وویچیخ زورک؛ توضیح‌دهندهٔ دنیای کلاسیک,wojciech-zurek,publish,https://qpedia.ir/scientists/wojciech-zurek/,2340,2026-09-04 23:03:46
پاسکوال یوردان؛ ریاضی‌دانی که در سایه ماند اما پایه‌ها را ساخت,pascual-jordan,publish,https://qpedia.ir/scientists/pascual-jordan/,269,2026-08-29 17:54:02
پل اهرنفست؛ پلی که زیر پای خودش شکست,paul-ehrenfest,publish,https://qpedia.ir/scientists/paul-ehrenfest/,2343,2026-09-04 23:04:23
پل دیراک؛ سکوت، ریاضیات و پیش‌بینی پادماده,paul-dirac,publish,https://qpedia.ir/scientists/paul-dirac/,267,2026-08-23 06:37:56
پیتر شور؛ الگوریتمی که امنیت رمزنگاری کلاسیک را از بنیان به پرسش کشید,peter-shor,publish,https://qpedia.ir/scientists/peter-shor/,242,2026-08-21 06:53:33
چارلز ویلسون؛ رد ذرات روی ابر,charles-wilson,publish,https://qpedia.ir/scientists/charles-wilson/,237,2026-08-21 06:13:33
کلینتون دیویسون؛ کشف تصادفی موج الکترون,clinton-davisson,publish,https://qpedia.ir/scientists/clinton-davisson/,2346,2026-09-04 23:02:55
گرد بینیگ؛ نخستین نگاه به اتم‌ها,gerd-binnig,publish,https://qpedia.ir/scientists/gerd-binnig/,2350,2026-09-04 23:02:55
یوجین ویگنر؛ زبان تقارن در فیزیک,eugene-wigner,publish,https://qpedia.ir/scientists/eugene-wigner/,2335,2026-09-04 23:03:46
جان مارتینیس؛ از سن پدرو تا برتری کوانتومی,john-martinis,draft,https://qpedia.ir/scientists/john-martinis/,2769,2026-09-09 10:22:04
دیوید واینلند؛ یونی که دیده شد و نمرد,david-wineland,draft,https://qpedia.ir/scientists/david-wineland/,2770,2026-09-09 10:22:04
راجر پنروز؛ سیاه چاله اجبار نسبیت است,roger-penrose,draft,https://qpedia.ir/scientists/roger-penrose/,2773,2026-09-09 10:22:04
یاکیر آهارونوف؛ فازی بدون میدان محلی,yakir-aharonov,draft,https://qpedia.ir/scientists/yakir-aharonov/,2772,2026-09-09 10:22:04
