خوشه,عنوان خوشه,کلمات کلیدی هدف,اولویت,وضعیت فعلی در سایت,مقصد (URL),اقدام,یادداشت اجرایی
Q1,کوانتوم چیست (پایه),"کوانتوم چیست | کوانتومی چیست | کوانتوم چیست به زبان ساده",۱,منتشرشده,https://qpedia.ir/what-is-quantum/,رفرش,تیتر/URL عوض نشود؛ H2 تازه «به زبان ساده» + FAQ + لینک ورودی از مقالات مبانی
Q2,فیزیک کوانتوم چیست (پایه),"فیزیک کوانتوم چیست | علم کوانتوم چیست | فیزیک کوانتوم به زبان ساده",۱,گپ,—,مقالهٔ جدید,اسلاگ پیشنهادی what-is-quantum-physics؛ مرز با Q1: این رشتهٔ علمی را پوشش دهد نه مفهوم کوانتوم؛ پس از انتشار از Q1 به آن لینک بدهید
Q3,مکانیک کوانتومی چیست,"مکانیک کوانتوم چیست | مکانیک کوانتومی چیست",۱,تحویل‌شده ۱۲ شهریور (quantum-physics-vs-quantum-mechanics),https://qpedia.ir/quantum-physics-vs-quantum-mechanics/,انتشار و رفرش,وضعیت زنده را از پیشخوان چک کنید؛ تیتر باید عبارت «مکانیک کوانتومی چیست» را داشته باشد
Q4,کامپیوتر کوانتومی چیست و چگونه کار می‌کند (پایه),"کامپیوتر کوانتومی چیست | کامپیوتر کوانتومی چگونه کار می‌کند | رایانش کوانتومی چیست",۱,تحویل‌شده (quantum-computer-reality — ایمپورتر ۲),https://qpedia.ir/quantum-computer-reality/,انتشار/بررسی زنده‌بودن,تیتر ≤۶۰ با «کامپیوتر کوانتومی چیست»؛ فرزندان: qubit ✅ / quantum-cryptography-internet-security ✅ / entanglement-quantum-computers
Q5,درهم‌تنیدگی کوانتومی (پایه),"درهم تنیدگی کوانتومی چیست | درهم تنیدگی کوانتومی به زبان ساده",۱,منتشرشده,https://qpedia.ir/quantum-entanglement-explained/,رفرش,H2 «به زبان ساده» + FAQ؛ لینک دوطرفه با bell-inequality ✅ و مقالهٔ جدید entanglement-myths
Q6,اخبار: گوگل IBM چین ویلو,"کامپیوتر کوانتومی گوگل | ویلو گوگل | کامپیوتر کوانتومی IBM | کامپیوتر کوانتومی چین",۲,دو پیش‌نویس در صف (تصحیح خطای گوگل؛ IBM Condor),https://qpedia.ir/quantum-computer-reality/,آپدیت ماهانه یک صفحهٔ زنده,پیش‌نویس‌ها را مقالهٔ جدا نکنید؛ به‌عنوان بخش «آخرین تحولات» همان پایه مصرف شوند؛ هر عدد با منبع اصلی راستی‌آزمایی شود
Q7,هوش مصنوعی کوانتومی / QML,"هوش مصنوعی کوانتومی چیست | یادگیری ماشین کوانتومی | quantum machine learning",۲,does-ai-use-quantum تحویل‌شده + پیش‌نویس QML در صف,https://qpedia.ir/does-ai-use-quantum/,ادغام و انتشار,پیش‌نویس QML را به‌عنوان بخش‌های ۲ و ۳ به مقالهٔ تحویل‌شده وصل کنید نه مقالهٔ دوم؛ نام لاتین در پرانتز
Q8,کامپیوتر کوانتومی در ایران,"کامپیوتر کوانتومی در ایران | کوانتوم دانشگاه آزاد | علوم تحقیقات کوانتوم",۲,گپ,—,مقالهٔ جدید,اسلاگ quantum-computing-iran؛ هر ادعای عددی/دانشگاهی فقط با منبع راستی‌آزمایی‌شده وگرنه حذف (بخش ۲ دستورالعمل مرجع)
Q9,کوانتوم و خدا,"آیا کوانتوم ثابت می‌کند خدا وجود دارد | کوانتوم و خدا | فیزیک کوانتوم و خدا",۳,does-quantum-prove-god تحویل‌شده ۱۲ شهریور,https://qpedia.ir/does-quantum-prove-god/,انتشار,لینک ورودی با انکور «کوانتوم و خدا» از copenhagen-interpretation ✅ و quantum-measurement ✅
Q10,قانون جذب و کوانتوم,"فیزیک کوانتوم و قانون جذب | کوانتوم و ذهن | کوانتوم و ثروت",۳,نیمه‌پوشش: everything-is-energy-claim ✅ + the-secret-review در صف,https://qpedia.ir/everything-is-energy-claim/,رفرش + مقالهٔ مجزا,رفرش: H2 «قانون جذب چه ربطی به کوانتوم دارد؟»؛ خوشه به مقالهٔ اختصاصی quantum-law-of-attraction نیاز دارد و از همهٔ شبه‌علمی‌ها لینک بگیرد
