type,category,subcategory,title_fa,slug
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),کوانتوم یعنی چه؟,what-is-quantum
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),برهم‌نهی کوانتومی,quantum-superposition
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),دوگانگی موج و ذره,wave-particle-duality
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),تابع موج چیست؟,wave-function
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),اندازه‌گیری و فروپاشی,quantum-measurement
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),اسپین؛ چرخشی که چرخش نیست,quantum-spin
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),ترازهای انرژی و کوانتش,energy-levels
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),واهم‌دوسی؛ چرا دنیا عادی است!,decoherence
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),ثابت پلانک؛ کوچک‌ترین واحد جهان,planck-constant
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),اصل طرد پاولی دقیقاً چه می‌گوید؟ به زبان ساده,pauli-exclusion-principle
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),اصل عدم قطعیت هایزنبرگ به زبان ساده,heisenberg-uncertainty-principle
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),برهم‌نهی چیست؟ وقتی یک ذره «هم این است هم آن»,superposition-explained
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),برهم‌نهی یعنی چه، و چرا اشیای بزرگ برهم‌نهی نمی‌شوند,why-large-objects-dont-superpose
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),تفاوت جبرگرایی کلاسیک و احتمال کوانتومی,determinism-vs-probability
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),تفاوت فیزیک کوانتوم و مکانیک کوانتومی چیست؟,quantum-physics-vs-quantum-mechanics
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),تمثیل تاس در مقابل تمثیل سکه: کدام برای عدم قطعیت بهتر است؟,coin-vs-dice-quantum-uncertainty
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),تمرین ذهنی: خودتان یک تمثیل بسازید و مرزش را پیدا کنید,quantum-analogy-exercise-boundary
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),چرا «نفهمیدن درست» کوانتوم، خودش یک دستاورد است؟,quantum-understanding-achievement
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),نقشهٔ ذهنی پنج‌گانه برای فهم درست کوانتوم,quantum-fivefold-mental-map
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),آیا فیزیک کلاسیک اشتباه بود؟ نه، محدود بود,is-classical-physics-wrong
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),چرا ریاضیات کوانتوم درست است ولی فهمش سخت است؟,why-quantum-math-works
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),منابع معتبر فارسی و انگلیسی برای یادگیری عمیق تر کوانتوم,quantum-learning-resources
article,مبانی و مفاهیم کوانتوم (`fundamentals`),مفاهیم پایه (`core-concepts`),آینده شغلی: آیا باید فیزیک کوانتوم یاد بگیریم؟,quantum-career-future-learn
article,مبانی و مفاهیم کوانتوم (`fundamentals`),ذرات بنیادی (`particles`),فوتون دقیقاً چیست؟,photon
article,مبانی و مفاهیم کوانتوم (`fundamentals`),ذرات بنیادی (`particles`),الکترون چیست؟ ویژگی‌ها، نقش در اتم و برق,electron
article,مبانی و مفاهیم کوانتوم (`fundamentals`),ذرات بنیادی (`particles`),کوارک چیست؟,quark
article,مبانی و مفاهیم کوانتوم (`fundamentals`),ذرات بنیادی (`particles`),نوترینو چیست؟,neutrino
article,مبانی و مفاهیم کوانتوم (`fundamentals`),ذرات بنیادی (`particles`),بوزون هیگز چیست؟,higgs-boson
article,مبانی و مفاهیم کوانتوم (`fundamentals`),ذرات بنیادی (`particles`),پادماده چیست؟,antimatter
article,مبانی و مفاهیم کوانتوم (`fundamentals`),ذرات بنیادی (`particles`),مدل استاندارد چیست؟,standard-model
article,مبانی و مفاهیم کوانتوم (`fundamentals`),ذرات بنیادی (`particles`),ذرات مجازی چیستند؟,virtual-particles
article,مبانی و مفاهیم کوانتوم (`fundamentals`),ذرات بنیادی (`particles`),اسپین هسته‌ای چیست؟,nuclear-spin
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),تاریخ کوانتوم (`history`),اثر فوتوالکتریک,photoelectric-effect
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),تاریخ کوانتوم (`history`),فاجعهٔ فرابنفش,ultraviolet-catastrophe
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),تاریخ کوانتوم (`history`),مدل اتمی بور,bohr-atomic-model
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),تاریخ کوانتوم (`history`),نامساوی بل,bell-inequality
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),تاریخ کوانتوم (`history`),پلانک و بحران تابش جسم سیاه؛ جرقه‌ای که فیزیک را متحول کرد,max-planck-blackbody
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),تاریخ کوانتوم (`history`),اینشتین و اثر فوتوالکتریک (نه فقط نسبیت),einstein-photoelectric-effect
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),تاریخ کوانتوم (`history`),نبرد اینشتین و بور بر سر معنای کوانتوم,einstein-bohr-debate
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),تاریخ کوانتوم (`history`),کنفرانس سولوی ۱۹۲۷ چه بود؟,solvay-conference-1927
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),تاریخ کوانتوم (`history`),دیراک و پیش‌بینی پادماده؛ وقتی ریاضیات از واقعیت جلو زد,dirac-antimatter
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),تاریخ کوانتوم (`history`),فاینمن؛ نابغه‌ای که کوانتوم را ساده توضیح می‌داد,feynman-quantum-explainer
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),تاریخ کوانتوم (`history`),شرودینگر: زندگی، معادله و گربه‌ای که هرگز نداشت,schrodinger-life-equation
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),تاریخ کوانتوم (`history`),زنان فراموش‌شدهٔ فیزیک کوانتوم,forgotten-women-quantum
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),آزمایش‌های کوانتومی (`experiments`),آزمایش دو شکاف,double-slit-experiment
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),آزمایش‌های کوانتومی (`experiments`),اثر زنون کوانتومی,quantum-zeno-effect
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),آزمایش‌های کوانتومی (`experiments`),آزمایش اشترن-گرلاخ چیست؟,stern-gerlach-experiment
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),آزمایش‌های کوانتومی (`experiments`),آزمایش آسپه ۱۹۸۲ چه بود؟,aspect-experiment-1982
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),آزمایش‌های کوانتومی (`experiments`),آزمایش‌های بل؛ چگونه درهم‌تنیدگی اثبات شد!,bell-experiments
article,تاریخ و آزمایش‌های کوانتوم (`history-experiments`),آزمایش‌های کوانتومی (`experiments`),چگالش بوز-اینشتین چیست؟,bose-einstein-condensate
