slug,عنوان,دسته,خروجی,ورودی,دوطرفه,مقاصد
"decoherence","واهمدوسی؛ چرا دنیا عادی است!","core-concepts",6,40,3,"electron photon quantum-computer-reality quantum-error-correction quantum-superposition qubit"
"qubit","کیوبیت چیست؟","technology",3,39,2,"energy-levels quantum-dots-displays quantum-error-correction"
"quantum-superposition","برهم‌نهی کوانتومی","core-concepts",9,34,2,"decoherence electron energy-levels photon quantum-computer-reality quantum-entanglement-explained quantum-spin qubit wave-function"
"photon","فوتون دقیقا چیست ؟","fundamentals",9,34,4,"atomic-clock-gps bohr-atomic-model double-slit-experiment electron how-lasers-work photoelectric-effect planck-constant standard-model wave-particle-duality"
"electron","الکترون چیست؟ ویژگی‌ها، نقش در اتم و برق","fundamentals",11,34,5,"atomic-clock-gps bohr-atomic-model energy-levels how-lasers-work photoelectric-effect photon quantum-measurement quantum-spin qubit transistor-quantum wave-function"
"quantum-entanglement-explained","درهم‌تنیدگی کوانتومی","phenomena",0,25,0,""
"energy-levels","ترازهای انرژی و کوانتش","core-concepts",5,24,2,"electron photon planck-constant quantum-spin superconductivity"
"quantum-spin","اسپین؛ چرخشی که چرخش نیست","core-concepts",6,21,4,"electron higgs-boson quantum-spin-liquid qubit stern-gerlach-experiment what-is-quantum"
"double-slit-experiment","آزمایش دو شکاف","history-experiments",3,18,2,"electron feynman-quantum-explainer quantum-eraser"
"quantum-cryptography-internet-security","رمزنگاری کوانتومی و آیندهٔ امنیت اینترنت","technology",1,18,1,"fiber-optics"
"quantum-measurement","اندازه‌گیری و فروپاشی","core-concepts",10,18,2,"decoherence electron many-worlds-interpretation photon pilot-wave quantum-cryptography-internet-security quantum-error-correction quantum-superposition quantum-zeno-effect wave-function"
"wave-function","تابع موج چیست؟","core-concepts",10,17,3,"decoherence double-slit-experiment electron heisenberg-uncertainty-principle many-worlds-interpretation physicists-on-quantum-weirdness pilot-wave quantum-computer-reality quantum-tunneling qubit"
"bell-inequality","نامساوی بل","history-experiments",1,13,1,"aspect-experiment-1982"
"what-is-quantum","کوانتوم یعنی چه؟","core-concepts",11,12,1,"electron energy-levels fiber-optics how-lasers-work photoelectric-effect photon physicists-on-quantum-weirdness planck-constant quantum-fivefold-mental-map transistor-quantum wave-function"
"quantum-tunneling","تونل‌زنی کوانتومی","phenomena",4,12,4,"alpha-decay genetic-mutation moore-law-quantum-limit stellar-fusion"
"spot-pseudoscience-one-sentence","چگونه ادعای شبه‌علمی را در یک جمله تشخیص دهیم","pseudoscience",3,12,3,"law-of-attraction-quantum quantum-alternative-medicine-science simulation-hypothesis-quantum"
"quantum-error-correction","تصحیح خطای کوانتومی چیست؟","technology",7,12,5,"decoherence quantum-entanglement-explained quantum-measurement quantum-superposition quantum-supremacy qubit shor-algorithm"
"shor-algorithm","الگوریتم شور چیست؟","technology",6,11,2,"double-slit-experiment harvest-now-decrypt-later quantum-cryptography-internet-security quantum-error-correction quantum-superposition qubit"
"heisenberg-uncertainty-principle","اصل عدم قطعیت هایزنبرگ به زبان ساده","core-concepts",4,10,2,"planck-constant quantum-measurement quantum-spin wave-function"
"many-worlds-interpretation","تفسیر جهان‌های موازی","interpretations",1,10,1,"quantum-immortality"
"photoelectric-effect","اثر فوتوالکتریک","history-experiments",0,10,0,""
"superconductivity","ابررسانایی","phenomena",2,10,0,"stellar-fusion time-crystal"
"transistor-quantum","ترانزیستور؛ کوانتوم در جیب شما","everyday-tech",1,10,1,"moore-law-quantum-limit"
"how-lasers-work","لیزر چطور کار می‌کند؟","everyday-tech",2,9,1,"attosecond-nobel-2023 stimulated-emission"
"copenhagen-interpretation","تفسیر کپنهاگی","interpretations",1,8,0,"feynman-quantum-explainer"
"planck-constant","ثابت پلانک؛ کوچک‌ترین واحد جهان","core-concepts",5,8,4,"energy-levels heisenberg-uncertainty-principle photon quantum-spin what-is-quantum"
"quantum-classical-boundary","چرا کوانتوم را در زندگی روزمره حس نمی کنیم؟","core-concepts",8,8,1,"decoherence electron planck-constant quantum-physics-in-movies-ant-man quantum-superposition qubit wave-particle-duality what-is-quantum"
